name	date	definitionName	definitionId	definitionDockerRepository	definitionDockerImageTag	definitionDocumentationUrl	definitionIcon	definitionSourceType	definitionReleaseStage	scrapeDescription	scrapeUrl
destination-amazon-sqs	2021-12-10	Amazon SQS	undefined	airbyte/destination-amazon-sqs	0.1.0	https://docs.airbyte.com/integrations/destinations/amazon-sqs	undefined	undefined	alpha	Amazon SQS - AWS	https://aws.amazon.com/sqs/
destination-aws-datalake	2022-04-05	AWS Datalake	undefined	airbyte/destination-aws-datalake	0.1.1	https://docs.airbyte.com/integrations/destinations/aws-datalake	undefined	undefined	alpha	Data Lake | Implementations | AWS Solutions	https://aws.amazon.com/solutions/implementations/data-lake-solution/
destination-azure-blob-storage	2021-08-29	Azure Blob Storage	undefined	airbyte/destination-azure-blob-storage	0.1.6	https://docs.airbyte.com/integrations/destinations/azureblobstorage	azureblobstorage.svg	undefined	alpha	Azure Blob Storage	https://azure.microsoft.com/en-us/products/storage/blobs/
destination-bigquery	2020-10-21	BigQuery	undefined	airbyte/destination-bigquery	1.2.5	https://docs.airbyte.com/integrations/destinations/bigquery	bigquery.svg	undefined	generally_available	Enterprise Data Warehouse | BigQuery - Google Cloud	https://cloud.google.com/bigquery
destination-bigquery-denormalized	2021-06-23	BigQuery (denormalized typed struct)	undefined	airbyte/destination-bigquery-denormalized	1.2.5	https://docs.airbyte.com/integrations/destinations/bigquery	bigquery.svg	undefined	beta	BigQuery | Airbyte Documentation	https://docs.airbyte.com/integrations/destinations/bigquery/
destination-cassandra	2021-11-06	Cassandra	undefined	airbyte/destination-cassandra	0.1.4	https://docs.airbyte.com/integrations/destinations/cassandra	cassandra.svg	undefined	alpha	Apache Cassandra - The Apache Software Foundation!	https://cassandra.apache.org/_/index.html
destination-clickhouse	2021-12-14	Clickhouse	undefined	airbyte/destination-clickhouse	0.2.0	https://docs.airbyte.com/integrations/destinations/clickhouse	undefined	undefined	alpha	ClickHouse: Fast Open-Source OLAP DBMS	https://clickhouse.com/
destination-clickhouse-strict-encrypt	2021-12-14	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	ClickHouse: Fast Open-Source OLAP DBMS	https://clickhouse.com/
destination-csv	2020-10-21	Local CSV	undefined	airbyte/destination-csv	0.2.10	https://docs.airbyte.com/integrations/destinations/local-csv	file.svg	undefined	alpha	A special Airbyte source for single CSV files you provide.	https://docs.airbyte.com/integrations/destinations/local-csv
destination-databricks	2021-09-15	Databricks Lakehouse	undefined	airbyte/destination-databricks	0.3.1	https://docs.airbyte.com/integrations/destinations/databricks	databricks.svg	undefined	alpha	Data Lakehouse Platform by Databricks - Schedule a Demo ...	https://www.databricks.com/product/data-lakehouse
destination-dev-null	2021-12-19	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	Home - /dev/null as a Service	https://devnull-as-a-service.com/
destination-dynamodb	2021-09-02	DynamoDB	undefined	airbyte/destination-dynamodb	0.1.5	https://docs.airbyte.com/integrations/destinations/dynamodb	dynamodb.svg	undefined	alpha	Amazon DynamoDB is a fully managed, serverless, key-value NoSQL database designed to run high-performance applications at any scale.	https://aws.amazon.com/dynamodb/
destination-e2e-test	2021-05-25	E2E Testing	undefined	airbyte/destination-e2e-test	0.2.4	https://docs.airbyte.com/integrations/destinations/e2e-test	airbyte.svg	undefined	undefined	This destination is for testing of Airbyte connections. It can be set up as a source message logger, a /dev/null, or to mimic specific behaviors (e.g. exception during the sync). Please use it with discretion. This destination may log your data, and expose sensitive information.	https://docs.airbyte.com/integrations/destinations/e2e-test
destination-elasticsearch	2021-11-02	ElasticSearch	undefined	airbyte/destination-elasticsearch	0.1.6	https://docs.airbyte.com/integrations/destinations/elasticsearch	elasticsearch.svg	undefined	alpha	Elasticsearch: The Official Distributed Search & Analytics Engine	https://www.elastic.co/elasticsearch
destination-elasticsearch-strict-encrypt	2022-09-22	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	Elasticsearch: The Official Distributed Search & Analytics Engine	https://www.elastic.co/elasticsearch
destination-firebolt	2022-06-28	Firebolt	undefined	airbyte/destination-firebolt	0.1.0	https://docs.airbyte.com/integrations/destinations/firebolt	undefined	undefined	alpha	Firebolt: Cloud Data Warehouse For Engineers	https://www.firebolt.io/
destination-firestore	2021-11-22	Google Firestore	undefined	airbyte/destination-firestore	0.1.1	https://docs.airbyte.com/integrations/destinations/firestore	firestore.svg	undefined	alpha	Cloud Firestore - Firebase	https://firebase.google.com/docs/firestore
destination-gcs	2021-07-17	Google Cloud Storage (GCS)	undefined	airbyte/destination-gcs	0.2.12	https://docs.airbyte.com/integrations/destinations/gcs	googlecloudstorage.svg	undefined	beta	Cloud Storage | Google Cloud	https://cloud.google.com/storage
destination-google-sheets	2022-05-12	Google Sheets	undefined	airbyte/destination-google-sheets	0.1.1	https://docs.airbyte.com/integrations/destinations/google-sheets	google-sheets.svg	undefined	alpha	Collect Data from Anywhere with Google Sheet's ImportXML ...	https://zapier.com/blog/google-sheets-importxml-guide/
